CDIM:       161
SDIM:       105
      0.96242104E+01     -0.95570423E-01      0.13445804E+01
      0.96263609E+01     -0.95575549E-01      0.13441328E+01
      0.96285114E+01     -0.95580705E-01      0.13436844E+01
      0.96306610E+01     -0.95585890E-01      0.13432360E+01
      0.96319876E+01     -0.95589079E-01      0.13429594E+01
      0.96328039E+01     -0.95591061E-01      0.13427889E+01
      0.96333075E+01     -0.95592290E-01      0.13426839E+01
      0.96336184E+01     -0.95593028E-01      0.13426191E+01
      0.96338091E+01     -0.95593497E-01      0.13425792E+01
      0.96339273E+01     -0.95593780E-01      0.13425546E+01
      0.73750620E+01     -0.77303089E-01      0.16902615E+01
      0.73751783E+01     -0.77305607E-01      0.16902418E+01
      0.73753300E+01     -0.77309564E-01      0.16902199E+01
      0.73755298E+01     -0.77315256E-01      0.16901944E+01
      0.73757911E+01     -0.77321999E-01      0.16901566E+01
      0.73761325E+01     -0.77330850E-01      0.16901072E+01
      0.73765807E+01     -0.77342451E-01      0.16900426E+01
      0.73771677E+01     -0.77357568E-01      0.16899576E+01
      0.73779368E+01     -0.77377476E-01      0.16898469E+01
      0.73789439E+01     -0.77403456E-01      0.16897012E+01
      0.73802638E+01     -0.77437527E-01      0.16895106E+01
      0.73819933E+01     -0.77482037E-01      0.16892607E+01
      0.73842587E+01     -0.77540264E-01      0.16889331E+01
      0.73872280E+01     -0.77615991E-01      0.16885016E+01
      0.73911185E+01     -0.77715814E-01      0.16879418E+01
      0.73962154E+01     -0.77845469E-01      0.16872044E+01
      0.74028940E+01     -0.78014456E-01      0.16862379E+01
      0.74116449E+01     -0.78234151E-01      0.16849711E+01
      0.74231119E+01     -0.78519255E-01      0.16833097E+01
      0.74381385E+01     -0.78888029E-01      0.16811303E+01
      0.74578285E+01     -0.79363115E-01      0.16782706E+01
      0.74836316E+01     -0.79971820E-01      0.16745157E+01
      0.75174470E+01     -0.80743209E-01      0.16695787E+01
      0.75617599E+01     -0.81708215E-01      0.16630764E+01
      0.76060753E+01     -0.82622051E-01      0.16565367E+01
      0.76503887E+01     -0.83485574E-01      0.16499591E+01
      0.76947036E+01     -0.84299952E-01      0.16433462E+01
      0.77390227E+01     -0.85071005E-01      0.16367433E+01
      0.77833467E+01     -0.85800730E-01      0.16301637E+01
      0.78276749E+01     -0.86491264E-01      0.16236162E+01
