CDIM:       145
SDIM:       73
      2.43567810E-01      2.33370019E-02      3.41236409E-02
      2.43575661E-01      2.33379289E-02      3.41219918E-02
      2.43580502E-01      2.33385023E-02      3.41209766E-02
      2.43583482E-01      2.33388573E-02      3.41203513E-02
      1.86776921E-01      1.44379814E-02      4.29765568E-02
      1.86779744E-01      1.44387598E-02      4.29760949E-02
      1.86783789E-01      1.44398610E-02      4.29755061E-02
      1.86789547E-01      1.44414437E-02      4.29747010E-02
      1.86797616E-01      1.44436480E-02      4.29735354E-02
      1.86808948E-01      1.44467305E-02      4.29718848E-02
      1.86824892E-01      1.44510734E-02      4.29695694E-02
      1.86847333E-01      1.44571843E-02      4.29663106E-02
      1.86878866E-01      1.44657534E-02      4.29617013E-02
      1.86923244E-01      1.44778159E-02      4.29552576E-02
      1.86985677E-01      1.44948164E-02      4.29462426E-02
      1.87073482E-01      1.45186402E-02      4.29334852E-02
      1.87197003E-01      1.45520757E-02      4.29155102E-02
      1.87370764E-01      1.45989769E-02      4.28902032E-02
      1.87615211E-01      1.46647927E-02      4.28546734E-02
      1.87959101E-01      1.47568551E-02      4.28045495E-02
      1.88442882E-01      1.48854466E-02      4.27338725E-02
      1.89123502E-01      1.50645567E-02      4.26341104E-02
      1.90081145E-01      1.53125873E-02      4.24929650E-02
      1.91428770E-01      1.56523632E-02      4.22925576E-02
      1.93325708E-01      1.61115889E-02      4.20069790E-02
      1.95997263E-01      1.67197880E-02      4.16005018E-02
      1.98672731E-01      1.72873542E-02      4.11959701E-02
      2.01352017E-01      1.78038532E-02      4.07828834E-02
      2.04036218E-01      1.82359186E-02      4.03235799E-02
      2.06726565E-01      1.86126543E-02      3.98420933E-02
      2.09420716E-01      1.90029341E-02      3.94006945E-02
      2.12117262E-01      1.93981124E-02      3.89879334E-02
      2.14815906E-01      1.97797153E-02      3.85825225E-02
      2.17518966E-01      2.01248121E-02      3.81591952E-02
      2.20230804E-01      2.04061576E-02      3.76852990E-02
      2.22943553E-01      2.07341372E-02      3.72412274E-02
      2.25646198E-01      2.11932407E-02      3.68903216E-02
      2.28354020E-01      2.16609305E-02      3.65520435E-02
      2.31075310E-01      2.20676016E-02      3.61798566E-02
      2.33801012E-01      2.23957000E-02      3.57859675E-02
      2.36528587E-01      2.26471204E-02      3.53759480E-02
      2.38464756E-01      2.28216547E-02      3.50642746E-02
      2.39839319E-01      2.29513987E-02      3.48295110E-02
      2.40815572E-01      2.30469425E-02      3.46550343E-02
      2.41509167E-01      2.31187623E-02      3.45245798E-02
      2.42002122E-01      2.31720084E-02      3.44285230E-02
      2.42352197E-01      2.32108175E-02      3.43588282E-02
      2.42601032E-01      2.32388682E-02      3.43086008E-02
      2.42777786E-01      2.32590149E-02      3.42725983E-02
      2.42903213E-01      2.32734276E-02      3.42468935E-02
      2.42992340E-01      2.32837214E-02      3.42285501E-02
      2.43055669E-01      2.32910631E-02      3.42154782E-02
      2.43100672E-01      2.32962922E-02      3.42061702E-02
